
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 799
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,TOT),SIG
#NUCLEUS    Li-6
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 7.0061E+06  1.95298      Lin-Lin
 7.15506E+06 1.94045      Lin-Lin
 7.2E+06     1.93706      Lin-Lin
 7.4E+06     1.92211      Lin-Lin
 7.5E+06     1.91391      Lin-Lin
 7.59E+06    1.90677      Lin-Lin
 7.6E+06     1.90594      Lin-Lin
 7.76159E+06 1.89203      Lin-Lin
 7.8E+06     1.88892      Lin-Lin
 8E+06       1.87324      Lin-Lin
 8.1738E+06  1.85925      Lin-Lin
 8.2E+06     1.85716      Lin-Lin
 8.4E+06     1.84139      Lin-Lin
 8.40887E+06 1.84067      Lin-Lin
 8.5E+06     1.83336      Lin-Lin
 8.55E+06    1.82969      Lin-Lin
 8.6E+06     1.82605      Lin-Lin
 8.7577E+06  1.8151       Lin-Lin
 8.8E+06     1.81215      Lin-Lin
 8.9439E+06  1.80196      Lin-Lin
 9E+06       1.79771      Lin-Lin
 9.3415E+06  1.77152      Lin-Lin
 9.5E+06     1.75952      Lin-Lin
 9.9253E+06  1.7281       Lin-Lin
 1E+07       1.72258      Lin-Lin
 1.00476E+07 1.71925      Lin-Lin
 1.00747E+07 1.71734      Lin-Lin
 1.00887E+07 1.71636      Lin-Lin
 1.01893E+07 1.7093       Lin-Lin
 1.02E+07    1.70855      Lin-Lin
 1.0231E+07  1.70606      Lin-Lin
 1.03331E+07 1.69784      Lin-Lin
